gene_symbol	gene_code	associations	mean_prediction
ADI1	HGNC:30576	0	 0.106
ADIG	HGNC:28606	0	 0.093
ADIPOQ	HGNC:13633	0	 0.113
ADIPOR1	HGNC:24040	0	 0.109
ADIPOR2	HGNC:24041	0	 0.127
ADIRF	HGNC:24043	0	 0.106
ADK	HGNC:257	0	 0.115
ADM	HGNC:259	0	 0.180
ADM2	HGNC:28898	0	 0.092
ADM5	HGNC:27293	0	 0.083
ADNP	HGNC:15766	0	 0.109
ADNP2	HGNC:23803	0	 0.102
ADO	HGNC:23506	0	 0.103
ADORA1	HGNC:262	0	 0.129
ADORA2A	HGNC:263	0	 0.134
ADORA2B	HGNC:264	0	 0.131
ADORA3	HGNC:268	0	 0.122
ADPGK	HGNC:25250	0	 0.098
ADPRH	HGNC:269	0	 0.096
ADPRHL1	HGNC:21303	0	 0.088
ADPRHL2	HGNC:21304	0	 0.089
ADPRM	HGNC:30925	0	 0.103
ADRA1A	HGNC:277	0	 0.124
ADRA1B	HGNC:278	0	 0.123
ADRA1D	HGNC:280	0	 0.117
ADRA2A	HGNC:281	0	 0.133
ADRA2B	HGNC:282	0	 0.117
ADRA2C	HGNC:283	0	 0.119
ADRB1	HGNC:285	0	 0.133
ADRB2	HGNC:286	0	 0.165
ADRB3	HGNC:288	0	 0.125
ADRBK1	HGNC:289	0	 0.130
ADRBK2	HGNC:290	0	 0.114
ADRM1	HGNC:15759	0	 0.113
ADSL	HGNC:291	0	 0.110
ADSS	HGNC:292	0	 0.108
ADSSL1	HGNC:20093	0	 0.096
ADTRP	HGNC:21214	0	 0.104
AEBP1	HGNC:303	0	 0.124
AEBP2	HGNC:24051	0	 0.103
AEN	HGNC:25722	0	 0.103
AES	HGNC:307	0	 0.107
AFAP1	HGNC:24017	0	 0.103
AFAP1L1	HGNC:26714	0	 0.086
AFAP1L2	HGNC:25901	0	 0.110
AFF1	HGNC:7135	1	 0.367
AFF2	HGNC:3776	0	 0.100
AFF3	HGNC:6473	1	 0.337
AFF4	HGNC:17869	0	 0.122
AFG3L2	HGNC:315	0	 0.099
AFM	HGNC:316	1	 0.175
AFMID	HGNC:20910	0	 0.088
AFP	HGNC:317	0	 0.107
AFTPH	HGNC:25951	0	 0.101
AGA	HGNC:318	0	 0.102
AGAP1	HGNC:16922	0	 0.110
AGAP10	HGNC:23462	0	 0.082
AGAP11	HGNC:29421	0	 0.083
AGAP2	HGNC:16921	0	 0.110
AGAP3	HGNC:16923	0	 0.095
AGAP4	HGNC:23459	0	 0.088
AGAP5	HGNC:23467	0	 0.082
AGAP6	HGNC:23466	0	 0.083
AGAP7	HGNC:23465	0	 0.083
