doid_id	doid_name	bto_id	bto_name	r_scaled
DOID:13241	Behcet's disease	BTO:0000084	vermiform appendix	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000776	B-lymphocyte	30.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000755	Leydig cell	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000443	adipocyte	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000045	adrenal cortex	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000047	adrenal gland	26.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001042	amygdala	29.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000089	blood	31.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000141	bone marrow	21.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000142	brain	37.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0002320	cardiac muscle fiber	24.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001539	cardiac myocyte	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000211	caudate nucleus	38.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000232	cerebellum	40.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000269	colon	17.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000289	cytotoxic T-lymphocyte	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0002042	dendritic cell	35.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001176	endothelial cell	20.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0004911	erythroid progenitor cell	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000562	heart	18.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0002417	helper T-lymphocyte	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000725	hematopoietic stem cell	22.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001073	hypophysis	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000614	hypothalamus	24.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000671	kidney	21.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000759	liver	20.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000763	lung	20.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000784	lymph node	27.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000041	medulla oblongata	33.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000876	monocyte	23.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0004730	myeloid progenitor cell	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000914	natural killer cell	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000293	occipital lobe	42.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000961	olfactory bulb	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000975	ovary	22.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000988	pancreas	15.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000991	pancreatic islet	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001067	pineal gland	26.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001078	placenta	23.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001101	pons	34.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001129	prostate gland	0.0
